CarritoId,Fecha,UsuarioId,NombreCliente,Telefono,DireccionEnvio,PasswordAcceso,ProductoId,NombreProducto,Cantidad,PrecioUnitario,TotalCompra
9852,2026-10-12,2,Maria Lopez,3109876543,Carrera 45 #12-30,QHG8yUrA,103,Chompa,1,50000,50000
4461,2026-08-28,3,Carlos Ruiz,3205554433,Avenida Siempre Viva 123,nyGgAoHQ,102,Camiseta_cuello_v,1,25000,25000
8907,2026-03-03,3,Carlos Ruiz,3205554433,Avenida Siempre Viva 123,0e5gOo1k,104,Buzo,3,120000,360000
9190,2026-12-11,3,Carlos Ruiz,3205554433,Avenida Siempre Viva 123,AI9Khxdn,101,Camiseta_cuello_redondo,1,25000,25000
7350,2026-04-12,4,Ana Gomez,3152228899,Circular 4 #70-15,Yhz2JeZo,104,Buzo,3,120000,360000
8593,2026-04-28,1,Juan Perez,3001234567,Calle 10 #25-10,wfE7INIJ,104,Buzo,2,120000,240000
9712,2026-09-14,4,Ana Gomez,3152228899,Circular 4 #70-15,71mRhVGi,104,Buzo,3,120000,360000
5795,2026-08-20,4,Ana Gomez,3152228899,Circular 4 #70-15,71eEeHwW,101,Camiseta_cuello_redondo,2,25000,50000
8685,2026-11-16,1,Juan Perez,3001234567,Calle 10 #25-10,1OtoOYfC,103,Chompa,3,50000,150000
9929,2026-09-13,4,Ana Gomez,3152228899,Circular 4 #70-15,JJoZNccv,104,Buzo,2,120000,240000
6774,2026-07-01,4,Ana Gomez,3152228899,Circular 4 #70-15,rpyTyccM,104,Buzo,3,120000,360000
5520,2026-07-28,1,Juan Perez,3001234567,Calle 10 #25-10,AHpx0KOR,101,Camiseta_cuello_redondo,3,25000,75000
4808,2026-02-04,1,Juan Perez,3001234567,Calle 10 #25-10,mY4CHqfk,103,Chompa,3,50000,150000
4474,2026-04-08,1,Juan Perez,3001234567,Calle 10 #25-10,vstQ75Nk,103,Chompa,1,50000,50000
2409,2026-01-10,2,Maria Lopez,3109876543,Carrera 45 #12-30,AxnP7d1G,102,Camiseta_cuello_v,3,25000,75000
2167,2026-12-27,2,Maria Lopez,3109876543,Carrera 45 #12-30,uuxPwtgA,101,Camiseta_cuello_redondo,2,25000,50000
5626,2026-04-07,1,Juan Perez,3001234567,Calle 10 #25-10,SKYcKrGo,103,Chompa,1,50000,50000
6958,2026-10-07,1,Juan Perez,3001234567,Calle 10 #25-10,fcdQNygK,104,Buzo,1,120000,120000
9436,2026-02-10,4,Ana Gomez,3152228899,Circular 4 #70-15,qqPI7eXU,103,Chompa,2,50000,100000
2613,2026-04-12,1,Juan Perez,3001234567,Calle 10 #25-10,DiuDYPLJ,103,Chompa,1,50000,50000
